Prime,Collisions,Time [mc s]
5303,7507,295931
5309,7616,296213
5323,7466,295971
5333,7295,295647
5347,7373,295894
5351,7525,296473
5381,7547,295864
5387,7358,375338
5393,7192,296938
5399,7470,297101
5407,7548,296733
5413,7411,296972
5417,7339,296846
5419,7349,296816
5431,7352,297925
5437,7344,297282
5441,7285,296647
5443,7393,296953
5449,7346,296674
5471,7325,296472
5477,7246,296997
5479,7448,299415
5483,7199,297707
5501,7251,296593
5503,7173,296494
5507,7289,296514
5519,7303,295735
5521,7253,296272
5527,7073,296052
5531,7289,296112
5557,7221,295897
5563,7205,295886
5569,7197,296134
5573,7264,295883
5581,7180,296038
5591,7104,295862
5623,7151,295913
5639,7209,295960
5641,7177,295965
5647,7259,297941
5651,7229,299710
5653,7086,296072
5657,7098,297154
5659,7048,295901
5669,7159,296030
5683,6962,295876
5689,7061,295923
5693,7024,296159
5701,7003,296014
5711,7058,296114
5717,7013,295718
5737,6968,296192
5741,7142,296522
5743,6876,295798
5749,7042,296068
5779,6867,296421
5783,6827,296006
5791,6961,295957
5801,6816,296185
5807,6923,296703
5813,6799,295954
5821,6952,296166
5827,6833,296107
5839,6738,295748
5843,6938,295904
5849,6883,295951
5851,6820,295863
5857,6903,295938
5861,6795,296020
5867,6930,295899
5869,6719,295732
5879,6723,295774
5881,6950,295703
5897,6842,295718
5903,6842,296001
5923,6739,295899
5927,6741,296119
5939,6813,295902
5953,6855,295982
5981,6617,296094
5987,6657,295823
6007,6506,296019
6011,6610,296052
6029,6790,296279
6037,6706,295924
6043,6762,295728
6047,6565,296586
6053,6609,295867
6067,6553,296046
6073,6546,296973
6079,6646,298992
6089,6561,296610
6091,6638,295880
6101,6644,295874
6113,6499,295861
6121,6549,295856
6131,6660,295819
6133,6370,295638
6143,6493,295787
6151,6533,295721
6163,6491,296125
6173,6566,295863
6197,6508,295885
6199,6471,296115
6203,6379,295687
6211,6270,295855
6217,6517,296719
6221,6410,296020
6229,6347,296239
6247,6345,296180
6257,6434,295899
6263,6305,295886
6269,6281,295937
6271,6303,296175
6277,6283,296100
6287,6329,295980
6299,6260,296027
6301,6329,296292
6311,6279,295923
6317,6312,295725
6323,6252,296650
6329,6235,296249
6337,6348,295994
6343,6345,295975
6353,6207,296391
6359,6245,296282
6361,6270,304787
6367,6248,296294
6373,6358,295881
6379,6269,296135
6389,6106,296272
6397,6161,296437
6421,6227,296470
6427,6231,296080
6449,6214,296027
6451,6319,295974
6469,6300,296245
6473,6110,296175
6481,6166,296111
6491,6171,295872
6521,6168,297301
6529,6090,298202
6547,6226,296404
6551,6168,296022
6553,6080,296875
6563,6129,295976
6569,6184,295746
6571,6066,295774
6577,6008,295680
6581,6097,295915
6599,5917,296071
6607,6040,296163
6619,6036,295934
6637,6195,296268
6653,6070,296013
6659,6060,295996
6661,5989,296077
6673,5872,296261
6679,5861,295815
6689,6110,295968
6691,6045,295647
6701,5923,296183
6703,5854,295869
6709,5973,295792
6719,5922,296176
6733,5903,295795
6737,5804,295720
6761,5883,296290
6763,5923,295989
6779,5976,296062
6781,5824,296039
6791,5929,295836
6793,5918,295914
6803,5634,296674
6823,5921,296790
6827,6025,296974
6829,5931,296860
6833,5791,296824
6841,5924,296779
6857,5745,296950
6863,5784,296470
6869,5955,296596
6871,5769,412106
6883,5928,296896
6899,5755,296849
6907,5827,296748
6911,5799,296721
6917,5790,296835
6947,5783,296522
6949,5729,440088
6959,5885,298511
6961,5721,300190
6967,5708,297115
6971,5752,297214
6977,5797,297084
6983,5614,297256
6991,5717,297070
6997,5803,296819
7001,5601,296798
7013,5642,296875
7019,5691,297386
7027,5684,296960
7039,5861,296898
7043,5555,296881
7057,5518,296641
7069,5588,296855
7079,5497,297671
7103,5755,297062
7109,5620,297061
7121,5614,297078
7127,5731,296879
7129,5757,297021
7151,5508,296621
7159,5612,296953
7177,5599,296981
7187,5509,296570
7193,5586,295994
7207,5589,296347
7211,5501,295885
7213,5472,296128
7219,5424,296028
7229,5533,295667
7237,5536,296014
7243,5537,296071
7247,5508,296224
7253,5486,296427
7283,5528,296674
7297,5532,296567
7307,5276,296359
7309,5377,296278
7321,5472,296102
7331,5522,296347
7333,5570,296558
7349,5465,296489
7351,5463,296066
7369,5369,296327
7393,5354,296402
7411,5423,395879
7417,5390,296017
7433,5424,296136
7451,5399,297835
7457,5494,298253
7459,5272,296403
7477,5466,296147
7481,5249,302231
7487,5364,314071
7489,5495,297292
7499,5402,296384
7507,5226,295888
7517,5285,296091
7523,5305,295877
7529,5308,295759
7537,5448,295938
7541,5230,296676
7547,5394,295969
7549,5327,296002
7559,5401,295930
7561,5335,296212
7573,5200,296020
7577,5359,296236
7583,5237,296501
7589,5296,295908
7591,5360,296387
7603,5253,296187
7607,5293,295863
7621,5252,295916
7639,5140,296010
7643,5220,296168
7649,5196,296214
7669,5334,296060
7673,5328,296311
7681,5236,296293
7687,5341,295989
7691,5185,296382
7699,5255,295914
7703,5237,296005
7717,5097,296151
7723,5415,296080
7727,5101,295901
7741,5183,296193
7753,5256,296455
7757,5215,296158
7759,5124,296331
7789,5006,295828
7793,5175,296296
7817,5072,295884
7823,5190,296126
7829,5153,296166
7841,5120,296023
7853,5097,296043
7867,5102,297503
7873,5091,297847
7877,5104,297441
7879,4971,296101
7883,5063,296332
7901,5045,296011
7907,4973,296282
7919,5057,296396
7927,5051,296066
7933,4983,296164
7937,5087,295951
7949,5009,295936
7951,4946,296167
7963,4999,296059
7993,5000,296370
8009,4955,296099
8011,5019,296042
8017,5088,296765
8039,4897,296068
8053,4928,295931
8059,4991,296001
8069,5049,296497
8081,5107,295988
8087,4920,295981
8089,5107,296174
8093,4917,296118
8101,5003,296082
8111,4896,295962
8117,4883,296007
8123,4999,295717
8147,4914,295776
8161,4966,296301
8167,4838,295710
8171,4897,295668
8179,4849,296002
8191,4954,286383
8209,4904,296009
8219,4860,296005
8221,4824,296204
8231,4875,296187
8233,4882,295895
8237,4759,295705
8243,4753,295977
8263,4965,296222
8269,4762,296041
8273,4900,296081
8287,4877,295866
8291,4880,296044
8293,4755,296323
8297,4825,295780
8311,4845,295777
8317,4808,296887
8329,4848,298742
8353,4840,296277
8363,4838,295615
8369,4694,296583
8377,4721,295864
8387,4777,295951
8389,4749,296631
8419,4740,296206
8423,4851,295973
8429,4733,295759
8431,4660,295770
8443,4821,299700
8447,4798,295995
8461,4782,296479
8467,4715,295880
8501,4805,296976
8513,4578,297862
8521,4624,297386
8527,4618,296975
8537,4794,410692
8539,4720,297094
8543,4623,296992
8563,4678,296768
8573,4610,298857
8581,4648,296690
8597,4641,296961
8599,4691,296822
8609,4754,296503
8623,4605,296849
8627,4713,296648
8629,4795,296670
8641,4760,297043
8647,4512,296630
8663,4560,296692
8669,4605,296786
8677,4551,296938
8681,4651,296918
8689,4528,296752
8693,4605,296749
8699,4618,296634
8707,4576,297688
8713,4481,296672
8719,4630,296988
8731,4529,296922
8737,4631,296747
8741,4589,296690
8747,4667,297432
8753,4598,297004
8761,4541,296953
8779,4465,298668
8783,4487,299161
8803,4647,296064
8807,4488,295915
8819,4523,296236
